description,amount,category
IMPS transfer via Cash (PhonePe),6723,Transfer
Dominos order via Cash (ICICI),1444,Food
Pizza order via Net Banking (SBI),7076,Food
Swiggy order via Credit Card (HDFC),15447,Food
Mobile recharge via Cash (GPay),3487,Bills
Bus fare via Debit Card (Axis Bank),7467,Travel
College fee via Credit Card (ICICI),1815,Education
Pharmacy bill via Net Banking (HDFC),14172,Healthcare
Udemy course via Credit Card (Paytm),16715,Education
Credit card bill via Cash (Axis Bank),19131,Bills
Exam fee via UPI (HDFC),14514,Education
Movie ticket via Debit Card (ICICI),11285,Entertainment
Flight booking via Debit Card (PhonePe),399,Travel
PPF deposit via Credit Card (Paytm),4580,Investment
DTH recharge via Debit Card (Paytm),15884,Bills
Supermarket shopping via Net Banking (HDFC),279,Shopping
Book purchase via Debit Card (Kotak),17464,Education
SIP investment via Net Banking (Paytm),18307,Investment
Ola cab via Cash (GPay),18418,Travel
Exam fee via Debit Card (HDFC),10623,Education
Supermarket shopping via UPI (SBI),10524,Shopping
Wallet transfer via Debit Card (Axis Bank),14585,Transfer
UPI transfer via Credit Card (Kotak),7937,Transfer
Ajio shopping via Credit Card (GPay),4341,Shopping
Spotify subscription via Debit Card (Paytm),13065,Entertainment
Rapido ride via UPI (GPay),14827,Travel
PPF deposit via Debit Card (Axis Bank),8217,Investment
Swiggy order via Cash (Axis Bank),1872,Food
Health insurance premium via UPI (PhonePe),12008,Healthcare
Diagnostic test via UPI (ICICI),18595,Healthcare
Broadband bill via Cash (Kotak),7200,Bills
Electronics purchase via Credit Card (ICICI),9890,Shopping
FD investment via UPI (SBI),15441,Investment
Ajio shopping via Net Banking (Axis Bank),9169,Shopping
Local market purchase via Credit Card (Axis Bank),4466,Shopping
Movie ticket via Cash (HDFC),9684,Entertainment
Mobile recharge via Credit Card (GPay),14685,Bills
Flipkart order via Net Banking (SBI),1039,Shopping
Broadband bill via Credit Card (ICICI),17018,Bills
Electricity bill via UPI (HDFC),2512,Bills
Bank transfer via Net Banking (ICICI),3043,Transfer
Doctor visit via Cash (Paytm),19026,Healthcare
Mutual fund purchase via Net Banking (SBI),2408,Investment
Crypto purchase via Net Banking (PhonePe),13940,Investment
Course fee via UPI (HDFC),13620,Education
Cafe coffee via Credit Card (ICICI),7940,Food
Netflix subscription via Net Banking (Paytm),17409,Entertainment
Spotify subscription via UPI (PhonePe),828,Entertainment
Electricity bill via Debit Card (ICICI),13978,Bills
Mobile recharge via Cash (SBI),2307,Bills
Movie ticket via Net Banking (SBI),1680,Entertainment
FD investment via Cash (Paytm),18571,Investment
Concert ticket via Net Banking (GPay),12132,Entertainment
Mobile recharge via Credit Card (Paytm),16330,Bills
Street food via Net Banking (HDFC),5618,Food
Electronics purchase via Credit Card (GPay),13915,Shopping
Health insurance premium via Credit Card (GPay),3094,Healthcare
Diesel refill via Credit Card (Axis Bank),15165,Travel
Auto fare via Cash (ICICI),13392,Travel
Crypto purchase via Credit Card (HDFC),14219,Investment
YouTube Premium via Credit Card (ICICI),5048,Entertainment
KFC meal via Credit Card (HDFC),9089,Food
Stock investment via UPI (Paytm),18816,Investment
Dominos order via Net Banking (PhonePe),2908,Food
Flipkart order via UPI (HDFC),18069,Shopping
Medical store purchase via Debit Card (HDFC),15547,Healthcare
UPI transfer via Debit Card (ICICI),9416,Transfer
Swiggy order via Net Banking (ICICI),17168,Food
Crypto purchase via Net Banking (GPay),11832,Investment
Water bill via Debit Card (ICICI),11990,Bills
Uber ride via Credit Card (Kotak),1561,Travel
Internet recharge via Net Banking (Kotak),17495,Bills
Street food via Credit Card (Axis Bank),12167,Food
Coaching class fee via Debit Card (ICICI),15484,Education
Supermarket shopping via UPI (Axis Bank),17116,Shopping
Crypto purchase via Net Banking (ICICI),14156,Investment
Online certification via UPI (HDFC),9355,Education
Electricity bill via Cash (HDFC),3216,Bills
Crypto purchase via UPI (ICICI),4403,Investment
RTGS transfer via Credit Card (Axis Bank),11264,Transfer
Bakery purchase via Debit Card (HDFC),19615,Food
Zomato food delivery via Credit Card (Axis Bank),19260,Food
Mutual fund purchase via Net Banking (HDFC),8099,Investment
Udemy course via Credit Card (ICICI),16393,Education
Game purchase via Debit Card (HDFC),17339,Entertainment
Myntra order via Credit Card (Kotak),17549,Shopping
Bakery purchase via Cash (Kotak),19953,Food
Spotify subscription via Net Banking (ICICI),19709,Entertainment
DTH recharge via Credit Card (Axis Bank),5459,Bills
Zomato food delivery via Net Banking (SBI),14661,Food
Game purchase via Debit Card (Kotak),16345,Entertainment
Udemy course via Cash (ICICI),3313,Education
Doctor visit via Credit Card (Paytm),7873,Healthcare
Internet recharge via UPI (SBI),2067,Bills
KFC meal via Net Banking (PhonePe),3293,Food
Hospital checkup via Cash (PhonePe),10528,Healthcare
Health insurance premium via UPI (PhonePe),14059,Healthcare
Restaurant dinner via Debit Card (ICICI),6271,Food
PPF deposit via Cash (GPay),17263,Investment
Bakery purchase via Cash (Kotak),5787,Food
Myntra order via Cash (SBI),19613,Shopping
Metro ticket via Credit Card (Axis Bank),10150,Travel
Flipkart order via UPI (ICICI),3891,Shopping
FD investment via Net Banking (Kotak),13238,Investment
Local market purchase via Credit Card (SBI),5883,Shopping
Uber ride via Credit Card (HDFC),16930,Travel
PPF deposit via Cash (PhonePe),1318,Investment
Stock investment via Debit Card (SBI),4149,Investment
NEFT transfer via Cash (GPay),7290,Transfer
Train ticket via Debit Card (Axis Bank),3443,Travel
Electricity bill via Debit Card (SBI),14405,Bills
Rapido ride via UPI (PhonePe),9004,Travel
Netflix subscription via Net Banking (HDFC),19912,Entertainment
Doctor visit via Net Banking (Kotak),17505,Healthcare
Flipkart order via Debit Card (PhonePe),15725,Shopping
Netflix subscription via UPI (Axis Bank),2077,Entertainment
Health insurance premium via UPI (Paytm),1817,Healthcare
Flight booking via UPI (Paytm),18976,Travel
Broadband bill via Cash (GPay),575,Bills
Pizza order via Cash (Paytm),16030,Food
Wallet transfer via Debit Card (SBI),18679,Transfer
Movie ticket via Credit Card (HDFC),9126,Entertainment
Coaching class fee via Credit Card (GPay),2964,Education
College fee via Credit Card (HDFC),5729,Education
Rapido ride via UPI (Kotak),4528,Travel
Internet recharge via Debit Card (HDFC),4063,Bills
Pizza order via UPI (Paytm),17497,Food
Mobile recharge via Debit Card (HDFC),15438,Bills
Concert ticket via Cash (ICICI),7065,Entertainment
Bank transfer via Credit Card (GPay),18722,Transfer
Broadband bill via Credit Card (PhonePe),14007,Bills
Bus fare via Net Banking (GPay),12945,Travel
Amazon shopping via Debit Card (ICICI),11646,Shopping
SIP investment via Credit Card (SBI),8322,Investment
SIP investment via Debit Card (Kotak),4354,Investment
Rapido ride via Credit Card (Paytm),17881,Travel
Stock investment via UPI (GPay),1693,Investment
Course fee via Debit Card (Paytm),1445,Education
Grocery shopping via Cash (ICICI),8838,Food
Course fee via Credit Card (Axis Bank),13585,Education
Credit card bill via Debit Card (ICICI),3653,Bills
NEFT transfer via Credit Card (HDFC),11627,Transfer
UPI transfer via Net Banking (HDFC),259,Transfer
Myntra order via Credit Card (ICICI),14351,Shopping
Coaching class fee via Debit Card (Paytm),5910,Education
Zomato food delivery via Credit Card (Paytm),16240,Food
IMPS transfer via Cash (Axis Bank),11080,Transfer
Diesel refill via Debit Card (HDFC),4408,Travel
Udemy course via Credit Card (Paytm),5157,Education
Grocery shopping via Credit Card (Paytm),17739,Food
Electronics purchase via Cash (SBI),3855,Shopping
Crypto purchase via Debit Card (ICICI),17995,Investment
Local market purchase via Net Banking (SBI),19920,Shopping
Game purchase via UPI (SBI),1578,Entertainment
Pizza order via Cash (SBI),16967,Food
SIP investment via Net Banking (HDFC),15213,Investment
Pizza order via Cash (Paytm),19038,Food
UPI transfer via Credit Card (Axis Bank),19175,Transfer
Supermarket shopping via Net Banking (Axis Bank),16972,Shopping
Electronics purchase via Debit Card (SBI),6234,Shopping
Ajio shopping via Cash (ICICI),6736,Shopping
Clothing purchase via UPI (Kotak),5087,Shopping
Flipkart order via Cash (PhonePe),19660,Shopping
Cafe coffee via Credit Card (GPay),6697,Food
Medical store purchase via UPI (Paytm),15642,Healthcare
Bus fare via Debit Card (Axis Bank),6171,Travel
PPF deposit via Debit Card (ICICI),13455,Investment
Bank transfer via Debit Card (SBI),14135,Transfer
Crypto purchase via Credit Card (Kotak),3158,Investment
Ajio shopping via Net Banking (Axis Bank),1234,Shopping
Bus fare via Cash (Paytm),11802,Travel
Credit card bill via Cash (Paytm),8647,Bills
Flipkart order via UPI (PhonePe),13331,Shopping
Mobile recharge via Net Banking (Paytm),10353,Bills
IMPS transfer via Cash (GPay),5132,Transfer
KFC meal via Credit Card (SBI),3518,Food
Course fee via Debit Card (SBI),9673,Education
Movie ticket via Cash (Kotak),10197,Entertainment
Swiggy order via Cash (SBI),7056,Food
Wallet transfer via Debit Card (GPay),3266,Transfer
RTGS transfer via Cash (Kotak),19869,Transfer
Amazon shopping via Debit Card (PhonePe),11053,Shopping
IMPS transfer via UPI (HDFC),12932,Transfer
Health insurance premium via Debit Card (Paytm),1045,Healthcare
Pizza order via Debit Card (ICICI),11338,Food
Flight booking via UPI (GPay),9433,Travel
Mobile recharge via Net Banking (Paytm),14636,Bills
Amazon shopping via Net Banking (SBI),6017,Shopping
Restaurant dinner via Credit Card (Kotak),18234,Food
UPI transfer via Debit Card (ICICI),11556,Transfer
Swiggy order via Cash (Kotak),536,Food
Clothing purchase via Net Banking (Kotak),2191,Shopping
Wallet transfer via UPI (Kotak),14278,Transfer
Local market purchase via Cash (Paytm),2927,Shopping
Clothing purchase via Net Banking (Axis Bank),554,Shopping
Broadband bill via Net Banking (Kotak),6094,Bills
Game purchase via Credit Card (SBI),13412,Entertainment
Hospital checkup via Cash (Paytm),1086,Healthcare
Spotify subscription via Net Banking (ICICI),3415,Entertainment
Wallet transfer via Debit Card (Paytm),16715,Transfer
Bus fare via Debit Card (HDFC),19280,Travel
Diagnostic test via UPI (Axis Bank),1858,Healthcare
Diagnostic test via Debit Card (PhonePe),17627,Healthcare
Rapido ride via Debit Card (HDFC),15400,Travel
Diagnostic test via Net Banking (Axis Bank),17244,Healthcare
Movie ticket via Cash (SBI),3809,Entertainment
Pizza order via Net Banking (PhonePe),16487,Food
Crypto purchase via Net Banking (PhonePe),4611,Investment
Gas bill via Credit Card (HDFC),5524,Bills
Bus fare via Credit Card (SBI),13924,Travel
RTGS transfer via Net Banking (SBI),7512,Transfer
SIP investment via Net Banking (GPay),11704,Investment
Coaching class fee via Debit Card (GPay),11514,Education
Crypto purchase via Debit Card (Axis Bank),9282,Investment
Coaching class fee via Cash (HDFC),10079,Education
Rapido ride via Debit Card (Paytm),19554,Travel
Game purchase via Debit Card (PhonePe),4455,Entertainment
Swiggy order via Net Banking (HDFC),17078,Food
Pharmacy bill via Cash (GPay),8011,Healthcare
Netflix subscription via Net Banking (GPay),572,Entertainment
Spotify subscription via Net Banking (HDFC),8358,Entertainment
Electricity bill via Debit Card (Paytm),6297,Bills
Netflix subscription via Cash (Axis Bank),13174,Entertainment
Movie ticket via UPI (ICICI),15387,Entertainment
Amazon shopping via UPI (Paytm),18326,Shopping
Medical store purchase via Cash (SBI),4842,Healthcare
Broadband bill via Debit Card (Paytm),8641,Bills
Health insurance premium via Cash (Axis Bank),13373,Healthcare
Electronics purchase via Cash (GPay),17140,Shopping
Electricity bill via Debit Card (Paytm),9541,Bills
RTGS transfer via UPI (HDFC),19326,Transfer
Coaching class fee via Credit Card (PhonePe),13092,Education
Metro ticket via Debit Card (PhonePe),1123,Travel
Flipkart order via Credit Card (SBI),2939,Shopping
Online certification via UPI (HDFC),8471,Education
Coaching class fee via Net Banking (HDFC),8976,Education
YouTube Premium via Cash (GPay),17152,Entertainment
PPF deposit via Cash (Kotak),4768,Investment
Electricity bill via Net Banking (HDFC),12545,Bills
SIP investment via Cash (Kotak),12830,Investment
RTGS transfer via Debit Card (HDFC),1345,Transfer
Game purchase via Cash (Paytm),9820,Entertainment
Electricity bill via UPI (HDFC),16036,Bills
Petrol pump via UPI (ICICI),6403,Travel
Internet recharge via Debit Card (SBI),8683,Bills
Wallet transfer via UPI (Axis Bank),11698,Transfer
PPF deposit via Cash (Paytm),3478,Investment
Bus fare via Credit Card (Paytm),16106,Travel
Restaurant dinner via UPI (Paytm),19236,Food
Bank transfer via Debit Card (PhonePe),14575,Transfer
Theme park ticket via Cash (SBI),3057,Entertainment
Exam fee via Credit Card (SBI),9656,Education
UPI transfer via Cash (GPay),6175,Transfer
Diagnostic test via Credit Card (GPay),11903,Healthcare
Train ticket via Debit Card (SBI),1253,Travel
Ajio shopping via Credit Card (Axis Bank),4081,Shopping
Hospital checkup via Credit Card (ICICI),8921,Healthcare
Amazon shopping via Credit Card (GPay),13627,Shopping
IMPS transfer via Cash (ICICI),19049,Transfer
Credit card bill via Credit Card (SBI),13357,Bills
Local market purchase via Debit Card (SBI),5566,Shopping
Bank transfer via Cash (PhonePe),10737,Transfer
Stock investment via Net Banking (Axis Bank),18335,Investment
Wallet transfer via Debit Card (HDFC),13689,Transfer
Uber ride via Debit Card (Axis Bank),9096,Travel
Theme park ticket via Credit Card (GPay),5093,Entertainment
Online certification via UPI (SBI),13710,Education
DTH recharge via Debit Card (Paytm),12414,Bills
PPF deposit via Net Banking (GPay),9203,Investment
Diagnostic test via Debit Card (Paytm),5713,Healthcare
Water bill via UPI (Kotak),11777,Bills
Clothing purchase via Cash (HDFC),3958,Shopping
Crypto purchase via Credit Card (Kotak),11959,Investment
Dominos order via Credit Card (Axis Bank),6519,Food
Crypto purchase via Cash (HDFC),14119,Investment
SIP investment via Net Banking (GPay),5803,Investment
Wallet transfer via Credit Card (HDFC),7991,Transfer
Movie ticket via Net Banking (GPay),8269,Entertainment
NEFT transfer via UPI (ICICI),2365,Transfer
Mobile recharge via Net Banking (ICICI),18535,Bills
RTGS transfer via Debit Card (Paytm),17625,Transfer
Flipkart order via Debit Card (Axis Bank),2444,Shopping
Flipkart order via Cash (GPay),2461,Shopping
Mutual fund purchase via UPI (ICICI),8022,Investment
Diagnostic test via UPI (SBI),9700,Healthcare
Exam fee via Credit Card (Axis Bank),3527,Education
Zomato food delivery via Credit Card (Axis Bank),8222,Food
YouTube Premium via Net Banking (ICICI),18263,Entertainment
Online certification via Cash (GPay),15210,Education
Credit card bill via Debit Card (HDFC),18844,Bills
Flight booking via Net Banking (HDFC),18488,Travel
Bank transfer via Net Banking (GPay),1087,Transfer
Netflix subscription via UPI (HDFC),19971,Entertainment
Credit card bill via Debit Card (Paytm),2722,Bills
Mutual fund purchase via Cash (Kotak),16032,Investment
Credit card bill via Credit Card (Paytm),258,Bills
Grocery shopping via Credit Card (Kotak),8718,Food
Doctor visit via Credit Card (SBI),14273,Healthcare
Electronics purchase via Net Banking (HDFC),17201,Shopping
Bus fare via Debit Card (SBI),2773,Travel
Broadband bill via Credit Card (PhonePe),2685,Bills
Coaching class fee via Credit Card (Paytm),14993,Education
SIP investment via UPI (Paytm),3527,Investment
Bakery purchase via UPI (Paytm),4634,Food
Ola cab via Debit Card (Axis Bank),15893,Travel
Theme park ticket via Net Banking (Paytm),12577,Entertainment
PPF deposit via Credit Card (PhonePe),9588,Investment
Health insurance premium via Net Banking (Paytm),11096,Healthcare
Zomato food delivery via UPI (Axis Bank),1070,Food
UPI transfer via Credit Card (Paytm),18516,Transfer
DTH recharge via Cash (ICICI),5040,Bills
Diagnostic test via Net Banking (Axis Bank),18476,Healthcare
Diagnostic test via Net Banking (HDFC),10243,Healthcare
Electronics purchase via Debit Card (GPay),10094,Shopping
Broadband bill via UPI (Axis Bank),5478,Bills
Restaurant dinner via Credit Card (GPay),542,Food
Pizza order via Cash (Axis Bank),10727,Food
Gas bill via Debit Card (HDFC),7226,Bills
PPF deposit via UPI (HDFC),17563,Investment
Health insurance premium via Debit Card (SBI),16190,Healthcare
Restaurant dinner via Debit Card (Axis Bank),651,Food
PPF deposit via UPI (ICICI),3608,Investment
Local market purchase via Cash (HDFC),10653,Shopping
Petrol pump via Cash (PhonePe),13880,Travel
UPI transfer via UPI (ICICI),1646,Transfer
Bakery purchase via Net Banking (PhonePe),608,Food
Diagnostic test via UPI (Paytm),11237,Healthcare
FD investment via UPI (SBI),12274,Investment
Game purchase via Net Banking (ICICI),18567,Entertainment
Credit card bill via Cash (Kotak),19440,Bills
Local market purchase via Cash (HDFC),10172,Shopping
Online certification via Credit Card (HDFC),17614,Education
Wallet transfer via Credit Card (PhonePe),17195,Transfer
RTGS transfer via Net Banking (Paytm),9575,Transfer
Amazon shopping via Net Banking (HDFC),7561,Shopping
Diagnostic test via UPI (ICICI),1350,Healthcare
Pharmacy bill via Net Banking (GPay),14705,Healthcare
Mutual fund purchase via Cash (Axis Bank),548,Investment
Amazon shopping via UPI (Kotak),4283,Shopping
Street food via Debit Card (GPay),15690,Food
Broadband bill via UPI (Axis Bank),4821,Bills
Ajio shopping via Credit Card (Kotak),15600,Shopping
Pharmacy bill via Debit Card (PhonePe),16681,Healthcare
Concert ticket via Cash (PhonePe),9418,Entertainment
Mutual fund purchase via UPI (PhonePe),10278,Investment
Bakery purchase via UPI (Paytm),5972,Food
Metro ticket via Credit Card (Paytm),10214,Travel
Medical store purchase via Credit Card (Kotak),14672,Healthcare
Diagnostic test via Cash (SBI),5131,Healthcare
Electricity bill via Cash (ICICI),13862,Bills
Restaurant dinner via Debit Card (GPay),18489,Food
Internet recharge via Cash (SBI),7513,Bills
UPI transfer via UPI (SBI),6541,Transfer
Game purchase via Credit Card (SBI),4357,Entertainment
Mutual fund purchase via Net Banking (PhonePe),13265,Investment
Electricity bill via Net Banking (HDFC),5329,Bills
Exam fee via Net Banking (PhonePe),17168,Education
Electricity bill via Debit Card (Kotak),13617,Bills
Bank transfer via Cash (ICICI),15574,Transfer
Flight booking via UPI (Kotak),18749,Travel
College fee via Credit Card (ICICI),13078,Education
PPF deposit via Debit Card (GPay),10767,Investment
Local market purchase via UPI (HDFC),6287,Shopping
Wallet transfer via Debit Card (GPay),17210,Transfer
Local market purchase via Cash (GPay),17968,Shopping
Train ticket via Credit Card (Kotak),17878,Travel
Flight booking via Cash (Paytm),6285,Travel
Hospital checkup via Credit Card (PhonePe),15020,Healthcare
Water bill via Debit Card (SBI),10610,Bills
Health insurance premium via UPI (ICICI),19836,Healthcare
Metro ticket via Net Banking (Kotak),10410,Travel
Auto fare via Cash (Axis Bank),6170,Travel
Zomato food delivery via UPI (Paytm),2203,Food
Movie ticket via Cash (Paytm),1902,Entertainment
Pizza order via Debit Card (GPay),13020,Food
DTH recharge via Debit Card (Paytm),8594,Bills
Ajio shopping via UPI (HDFC),3867,Shopping
Gas bill via Debit Card (HDFC),6661,Bills
Ajio shopping via Credit Card (Paytm),11227,Shopping
Concert ticket via Cash (Paytm),14274,Entertainment
Mutual fund purchase via Debit Card (Axis Bank),10774,Investment
Diagnostic test via Cash (SBI),1891,Healthcare
Concert ticket via Credit Card (Axis Bank),8421,Entertainment
FD investment via Credit Card (Paytm),16423,Investment
Metro ticket via UPI (PhonePe),8112,Travel
Myntra order via UPI (GPay),8963,Shopping
UPI transfer via UPI (PhonePe),8929,Transfer
Electricity bill via Net Banking (HDFC),2521,Bills
Amazon shopping via Cash (PhonePe),11876,Shopping
Diagnostic test via UPI (PhonePe),18213,Healthcare
Health insurance premium via UPI (Kotak),12926,Healthcare
Coaching class fee via Credit Card (Axis Bank),7672,Education
Train ticket via Debit Card (ICICI),12155,Travel
UPI transfer via Debit Card (Axis Bank),2050,Transfer
FD investment via Debit Card (HDFC),5339,Investment
KFC meal via UPI (SBI),15868,Food
FD investment via Cash (ICICI),671,Investment
Credit card bill via Cash (HDFC),5809,Bills
Water bill via Debit Card (SBI),12939,Bills
Theme park ticket via Credit Card (Paytm),3337,Entertainment
Bakery purchase via Cash (HDFC),6599,Food
Auto fare via Credit Card (Axis Bank),14886,Travel
Exam fee via Debit Card (PhonePe),11514,Education
Zomato food delivery via Debit Card (SBI),2346,Food
Myntra order via Debit Card (PhonePe),9627,Shopping
Electricity bill via UPI (HDFC),16358,Bills
Bakery purchase via Credit Card (SBI),18027,Food
Electricity bill via UPI (ICICI),18184,Bills
Swiggy order via UPI (ICICI),13675,Food
Spotify subscription via Cash (Axis Bank),10545,Entertainment
Credit card bill via Net Banking (ICICI),18064,Bills
College fee via Debit Card (PhonePe),8566,Education
Electricity bill via UPI (Kotak),10148,Bills
Flipkart order via Net Banking (Axis Bank),14919,Shopping
Street food via Net Banking (Paytm),18478,Food
Myntra order via Debit Card (SBI),19438,Shopping
YouTube Premium via UPI (SBI),10141,Entertainment
Doctor visit via Credit Card (Axis Bank),15428,Healthcare
Train ticket via UPI (ICICI),10320,Travel
Movie ticket via Net Banking (GPay),156,Entertainment
IMPS transfer via Net Banking (SBI),15052,Transfer
Water bill via Net Banking (PhonePe),7147,Bills
Exam fee via Credit Card (Axis Bank),2358,Education
Spotify subscription via Debit Card (PhonePe),18219,Entertainment
UPI transfer via Cash (Paytm),6610,Transfer
Supermarket shopping via UPI (PhonePe),11898,Shopping
SIP investment via UPI (GPay),18775,Investment
Book purchase via UPI (Paytm),15034,Education
Netflix subscription via Debit Card (Kotak),2755,Entertainment
Bank transfer via UPI (PhonePe),9763,Transfer
Supermarket shopping via Credit Card (GPay),6431,Shopping
NEFT transfer via Net Banking (Paytm),18073,Transfer
Crypto purchase via Credit Card (Axis Bank),11871,Investment
Uber ride via Net Banking (GPay),4094,Travel
Book purchase via UPI (PhonePe),6163,Education
Hospital checkup via Cash (Kotak),12645,Healthcare
Mobile recharge via Debit Card (Paytm),14284,Bills
UPI transfer via Credit Card (GPay),10797,Transfer
Internet recharge via Credit Card (HDFC),4678,Bills
Exam fee via Credit Card (PhonePe),19017,Education
Udemy course via UPI (HDFC),14985,Education
KFC meal via Credit Card (GPay),8759,Food
Spotify subscription via Net Banking (ICICI),861,Entertainment
Clothing purchase via Credit Card (Kotak),7169,Shopping
Mobile recharge via Net Banking (Axis Bank),16992,Bills
Netflix subscription via Debit Card (Axis Bank),7400,Entertainment
FD investment via Cash (Axis Bank),6973,Investment
Stock investment via Debit Card (Kotak),6439,Investment
Diagnostic test via Cash (ICICI),290,Healthcare
Wallet transfer via Debit Card (Paytm),5648,Transfer
NEFT transfer via Cash (Kotak),15693,Transfer
Dominos order via Cash (PhonePe),15125,Food
Hospital checkup via Cash (HDFC),8233,Healthcare
Book purchase via Net Banking (Axis Bank),2773,Education
Crypto purchase via Credit Card (GPay),113,Investment
IMPS transfer via UPI (SBI),13570,Transfer
Ola cab via UPI (SBI),2646,Travel
SIP investment via Net Banking (ICICI),3314,Investment
IMPS transfer via Cash (Paytm),10970,Transfer
Udemy course via Net Banking (Axis Bank),9756,Education
Book purchase via Net Banking (HDFC),8235,Education
Train ticket via Net Banking (GPay),2853,Travel
Grocery shopping via UPI (Paytm),17841,Food
Water bill via Net Banking (Axis Bank),16071,Bills
NEFT transfer via Debit Card (Axis Bank),5441,Transfer
Zomato food delivery via Credit Card (SBI),16476,Food
Uber ride via Net Banking (GPay),1364,Travel
DTH recharge via UPI (PhonePe),5412,Bills
Doctor visit via UPI (SBI),12381,Healthcare
IMPS transfer via Credit Card (ICICI),10531,Transfer
DTH recharge via Cash (Paytm),11871,Bills
NEFT transfer via Cash (ICICI),9549,Transfer
Bakery purchase via Credit Card (Axis Bank),15073,Food
Bank transfer via Cash (GPay),5553,Transfer
UPI transfer via Credit Card (Kotak),15809,Transfer
Hospital checkup via UPI (Axis Bank),3279,Healthcare
Mobile recharge via Cash (PhonePe),12462,Bills
PPF deposit via UPI (SBI),5324,Investment
Water bill via Debit Card (ICICI),12298,Bills
Mutual fund purchase via Credit Card (Paytm),14839,Investment
Flipkart order via Debit Card (Paytm),14578,Shopping
UPI transfer via UPI (Kotak),11719,Transfer
Train ticket via Net Banking (GPay),6504,Travel
UPI transfer via Credit Card (HDFC),5147,Transfer
Dominos order via UPI (Kotak),2061,Food
Game purchase via Net Banking (HDFC),13163,Entertainment
Ajio shopping via Credit Card (GPay),16131,Shopping
UPI transfer via UPI (Axis Bank),11297,Transfer
Clothing purchase via Cash (Axis Bank),7912,Shopping
Clothing purchase via Credit Card (Kotak),9873,Shopping
Crypto purchase via Cash (SBI),6014,Investment
Concert ticket via Cash (GPay),1464,Entertainment
Diagnostic test via Net Banking (HDFC),5092,Healthcare
Flight booking via Net Banking (Paytm),1677,Travel
Theme park ticket via Cash (Axis Bank),8362,Entertainment
Water bill via Cash (Paytm),2613,Bills
NEFT transfer via Cash (HDFC),12197,Transfer
Internet recharge via UPI (Kotak),9427,Bills
Pizza order via Net Banking (Axis Bank),17912,Food
Bank transfer via Debit Card (HDFC),4622,Transfer
Ajio shopping via Debit Card (PhonePe),16693,Shopping
Zomato food delivery via Cash (Axis Bank),11675,Food
Ola cab via Net Banking (Kotak),1504,Travel
Bank transfer via Debit Card (Paytm),349,Transfer
RTGS transfer via Cash (Axis Bank),16293,Transfer
DTH recharge via Cash (Kotak),16564,Bills
Health insurance premium via UPI (SBI),17044,Healthcare
Ola cab via UPI (HDFC),890,Travel
College fee via Cash (GPay),4940,Education
Stock investment via UPI (GPay),15600,Investment
Exam fee via Debit Card (ICICI),17138,Education
NEFT transfer via UPI (SBI),1299,Transfer
Ajio shopping via Debit Card (GPay),11662,Shopping
Pizza order via Credit Card (SBI),14976,Food
SIP investment via Net Banking (Paytm),13563,Investment
PPF deposit via Credit Card (Paytm),117,Investment
Restaurant dinner via Net Banking (Kotak),11347,Food
Cafe coffee via UPI (PhonePe),2443,Food
Pizza order via Debit Card (Paytm),12067,Food
Electricity bill via UPI (HDFC),5011,Bills
UPI transfer via Debit Card (Kotak),12068,Transfer
FD investment via Net Banking (GPay),1047,Investment
Udemy course via Net Banking (PhonePe),19545,Education
YouTube Premium via Debit Card (Axis Bank),11541,Entertainment
Internet recharge via UPI (PhonePe),9409,Bills
Bank transfer via Debit Card (Kotak),3849,Transfer
Stock investment via UPI (ICICI),6043,Investment
Coaching class fee via Net Banking (Kotak),9949,Education
Course fee via Debit Card (SBI),19826,Education
Amazon shopping via Debit Card (Kotak),15571,Shopping
Ola cab via Credit Card (SBI),12284,Travel
Pharmacy bill via Debit Card (SBI),3091,Healthcare
RTGS transfer via Credit Card (Paytm),13292,Transfer
Wallet transfer via UPI (PhonePe),17476,Transfer
Supermarket shopping via Debit Card (HDFC),11884,Shopping
College fee via Credit Card (Kotak),8330,Education
UPI transfer via Credit Card (SBI),14439,Transfer
FD investment via Debit Card (PhonePe),8382,Investment
Game purchase via Credit Card (GPay),9232,Entertainment
Credit card bill via Net Banking (PhonePe),15057,Bills
Credit card bill via Credit Card (Kotak),4296,Bills
College fee via Net Banking (ICICI),10474,Education
College fee via Credit Card (ICICI),8501,Education
NEFT transfer via Credit Card (ICICI),13655,Transfer
Crypto purchase via Cash (SBI),13702,Investment
NEFT transfer via Net Banking (SBI),307,Transfer
Concert ticket via Cash (Paytm),2671,Entertainment
Restaurant dinner via UPI (GPay),5806,Food
Pharmacy bill via Credit Card (Kotak),2238,Healthcare
RTGS transfer via UPI (Kotak),1624,Transfer
College fee via Credit Card (Kotak),16516,Education
Metro ticket via Cash (Paytm),17905,Travel
UPI transfer via Cash (ICICI),17805,Transfer
Coaching class fee via Debit Card (Axis Bank),1018,Education
Grocery shopping via Cash (GPay),15457,Food
Medical store purchase via Credit Card (SBI),11541,Healthcare
Gas bill via UPI (HDFC),5895,Bills
RTGS transfer via Cash (PhonePe),4051,Transfer
Netflix subscription via UPI (HDFC),16408,Entertainment
Clothing purchase via Net Banking (GPay),12533,Shopping
RTGS transfer via Debit Card (ICICI),596,Transfer
DTH recharge via Net Banking (SBI),3181,Bills
Cafe coffee via UPI (Kotak),17084,Food
